pk,user_pk,caption,like_count,taken_at
3382812429358956189,54493827605,"The Olive tree of Vouveson on the island of Crete, Greece, is one of the oldest olive trees in the world.

Scientists from the University of Crete have estimated it to be 4,000 years old, which means that, when it sprouted, the last mammoths were still walking on Earth, someone in China was discovering bronze casting and the seventh Egyptian dinasty was declining.",329,1717482688
3498549405344676241,259533357,"Bill Gates is constantly asked for his thoughts on big topics like artificial intelligence, climate change and pandemics.

But there are other topics the Microsoft co-founder and billionaire philanthropist finds just as interesting and important — and he’s “surprised” more people aren’t asking about them.",142,1731279623
3426047792722020543,61102128227,"Got another version of the cursejourney cat for you guys. Who needs a free makeover? Made with midjourney, gigapixel, kling + premiere pro with 8 sound effects.

target audience: horror, cats, surreal, scary, witchcraft, dark, art, spooky WeirdThreads",18106,1722637034
3465252942486601313,49573589494,"the very obvious dots we’re all connecting is that there have been reports of openAI becoming a for-profit company and giving sam altman a 7% stake as the company nears a $150 billion (!) valuation

altman claims it was an amicable split, but mira murati retained independent PR…",240,1727310363
3446840376751879522,1687848,"Hey! I woke this morning to see I hit the 3,500 mark. Thank you! I get so much more out of this place than the Nazi bar and I hope I contribute to your feed, too. 

I post about artificial intelligence, futurism, finance, and critique MSM after 30 years in the business. 

At 3,500, it’s all about the friends you made along the way.",163,1725115414
3147723186140978220,45438067904,"In some few years to come, the profession that you are committing your millions to in school for a certificate could be fully taken over by artificial intelligence(AI). Just because it is smarter and can do the work better than you 

Let’s prepare for the future and embrace 21st century education properly. 

Dark days are coming. #SayYesToStem",219,1689457866
3462782666192214172,558170,"Netflix has released a documentary series ""In What’s Next? The Future with Bill Gates"" that revolves around discussions on AI, which is worth watching.🧵1/2",350,1727015935
3504620818156025190,59148354604,"Stanford University is offering free online courses you can take now to learn new skills or improve the ones you've already acquired

Here are the best 10 online courses you will find there 👇",396,1732003414
3265320731775123892,192592722,"I keep seeing the same ridiculous myths about artificial intelligence being parroted, so I’m just going to make a list debunking them. 🧵

Myth 1: AI is still new.

Fact: Lmfao not it’s not. Neural networks and deep learning have been around for over 70 years. And this current generation with modern processing power have been around for a decade. 

None of this tech is in its first generation. It is all quite old.

https://news.mit.edu/2017/explained-neural-networks-deep-learning-0414",131,1703476586
3516794657147827787,3910607774,"Inspirational: Popular Rapper Uniq Poet completed his Masters in Artificial Intelligence & is currently working at popular Software company ""Team Viewer"". He always motivates youths & aspiring rappers to complete their studies as well and his final year thesis was about Generating Music for Rap Vocals using Deep Learning/AI. 😮 ❤️",131,1733454614
3437009511937842295,272128451,Eminem with his group “Soul Intent” in 1991 👀,1385,1723943483
3553301875294146126,66173660653,"Sam Altman says, “Advancing AI may require ""changes to the social contract.""

""The entire structure of society will be up for debate and reconfiguration.""",507,1737806646
3223838981514595448,1091359,"This is a really great perspective from @yannlecun. Despite the hype of LLMs, they are still primarily fancy autocomplete which means they’ll always be difficult to control and mainly just regurgitate their training.

This isn’t artificial intelligence from science fiction. This isn’t an adaptable and learning system which can invent new things. We will need new AI architectures to actually deliver that dream, not LLMs.

That said, LLMs will still be an extremely disruptive technology.",127,1698531576
3158417637595108363,6946980135,"As tech companies begin to weave AI into all their products and all of our lives, the architects of this revolutionary technology often can't predict or explain their systems' behavior.

This may be the scariest aspect of today's AI boom — and it's common knowledge among AI's builders, though not widely understood by everyone else. https://www.axios.com/2023/07/30/how-artificial-intelligence-works-unknowns",195,1690732744
3469800228717976434,17616713688,"📍Comparison of AI, ML, and DL👇

Tech Threads",158,1727852441
3272511880840908790,4140608,Are any tech ppl in the Epstein docs??,215,1704333838
3225672417337573299,1091359,"Andrew Ng a professor at Stanford who taught machine learning to people like Sam Altman of Open AI and who also co-founded Google Brain has called bullshit on AI doomerism. 

Ng states that the idea that artificial intelligence could lead to the extinction of humanity is a lie being spread by big tech in the hope of triggering heavy regulation that would shut down competition in the AI market.

Crippling Open Source models is one outcome of this effort that’s succeeding.",224,1698750138
3467008232510200829,10924172884,"Ranking of the greatest inventions of all time:

1. 🇮🇶 The Wheel
2. 🇺🇸 Electricity
3. 🇺🇸 The Internet
4. 🇩🇪 The Printing Press
5. 🇺🇸 The Telephone
6. 🇬🇧 Antibiotics (Penicillin)
7. 🇺🇸 The Airplane
8. 🇬🇧 Vaccination
9. 🇬🇧 The Steam Engine
10. 🇺🇸 The Computer
11. 🇺🇸 Light Bulb
12. 🇩🇪 The Internal Combustion Engine
13. 🇺🇸 The Automobile
14. 🇺🇸 The Refrigerator
15. 🇮🇹 The Telescope
16. 🇺🇸 Television
17. 🇫🇷 The Camera
18. 🇺🇸 Nuclear Power
19. 🇨🇳 The Compass
20. 🇳🇱 The Microscope

more👇",671,1727519609
3367093500599066198,1543999420,"Experts have warned that artificial intelligence voice-cloning technology can amplify scams, disrupt elections, and impersonate people without their consent.

But these Rhode Island doctors believe they’ve found a use that justifies the risks. Meet Lexi Bogan.

https://apnews.com/article/ai-recreating-lost-voice-illness-a6512c33481072c22182c116d2cbe419",115,1715608885
3529099285775134570,60601877613,It just ain’t worth it man,3326,1734921440
3419145444889695988,58768100386,"I'm Surprised Why Aren't More People Using ChatGPT for Content Creation? 

Copy and Paste These 13 Prompts for Instant Inspiration:",1699,1721813921
3464439643869701067,19018585,"Three Mile Island, the scene of the worst commercial nuclear accident in U.S. history, will reopen to power Microsoft’s data centers, which are responsible for powering the tech giant’s cloud computing and artificial intelligence programs. WhatDoYouThink https://bit.ly/4gzXKel",154,1727213415
3141009172710223313,520197851,"Tata Consultancy Services said that it will train 25,000 engineers on generative artificial intelligence tools & services by AI research firm OpenAI, the makers of popular chatbot, ChatGPT.

Generative AI services will be hosted and provided on Microsoft’s Azure cloud platform—thus making this offering available to its clients.

Read here: https://www.livemint.com/industry/infotech/tcs-to-train-25-000-employees-on-microsoft-openai-s-generative-ai-tools-11688653184491.html",147,1688657493
3505910725527343345,4159632083,"Japanese researchers have crafted a revolutionary device.

This incredible technology employs advancements in brain imaging and artificial intelligence (AI), reinforcing one to delve into the mysterious realms of dreams in exceptional ways.

#japanese #dreamrecorddevice #artificialintelligence",136,1732157149
3520229027684140382,39643192594,"I'm a data scientist with almost 4 years of experience.

With the rise of generative AI, many people have concerns that data science will become obsolete. I say data science will always be sexy!

The only roadmap you need to learn data science in 2025 is here:",402,1733864023
3185249442882323310,217723373,"What jobs will AI impact the most? 

In some industries, experts have suggested a future in which AI can assist humans rather than replace them entirely. In others, artificial intelligence may have little to no impact at all. We asked experts across different fields to share their thoughts and predictions.

Read more in CNN Opinion: https://cnn.it/3Po6ZCK",176,1693931344
3403049022346404251,4634659252,"It's July 1st. Happy 🇨🇦Canada🇨🇦 Day. 20240701
Today is the new Month. It's July. It is the beginning of the 2nd 1/2 year now. Remember I said many countries celebrate Independence Day this Month. Today, I'm going to say Happy 🇨🇦Canada🇨🇦 Day.
I found something new on Amazon last week. It has AI (Artificial Intelligence). Its name is Rufus, which makes me think of a 🐶Dog's🐕 name. I have been asking questions to see if it is doing right or not.",138,1719895237
3225127036074500732,1199148703,"“Natasha Lyonne, Adam McKay, Robert Carlock & over 1,000 Writers Guild of America East members have signed a petition calling on digital media companies to ‘work collaboratively’ with their journalists on artificial intelligence guardrails.” https://www.hollywoodreporter.com/business/business-news/natasha-lyonne-adam-mckay-ai-protections-journalists-1235630562/",128,1698685124
3164527252163800411,1822638,"San Francisco may be the symbolic capital of the tech industry, and the hub of next-generation services like artificial intelligence, but when it comes to self-driving cars, city officials are clear: not so fast https://reut.rs/3Qw38Vh",129,1691461067
3284493061831153299,3552605939,"""Elon Pulls a Fast One in Ponzi Fashion""
Many investors held onto their shares with future hopes, but Musk cashed out bunch of his to buy Twitter. Now he wants to be paid again for the magic beans he never delivered & cover for $$ he squandered in buying Twitter.

The market should start treating Tesla not as the next Apple (as he encourages) but as what it is: a mere auto company.

https://www.wsj.com/articles/lovable-elon-pulls-a-fast-one-compensation-artificial-intelligence-x-post-bec08f67",271,1705762106
3151940719673354751,44811065685,"Thankfully, all the companies involved have a proven track record of trustworthiness. 

“All of the commitments are voluntary and White House officials acknowledged that there is no enforcement mechanism to ensure the companies stick to the commitments, some of which also lack specificity.”
https://www.cnn.com/2023/07/21/politics/white-house-artificial-intelligence/index.html",124,1689960635
3395052180015946607,1173750895,i can't believe this is a real picture,12471,1718941780
3347856886684374213,217723373,"The creation of sexually explicit deepfake content is likely to become a criminal offense in England and Wales as concern grows over the use of artificial intelligence to exploit and harass women.

Under a draft law, anyone who creates such an image or video of another adult without their consent — even if they don’t intend to share it — would face a criminal record and an unlimited fine, the UK justice department announced Tuesday. https://cnn.it/3Uku3Fa",112,1713315668
